prediction_id,fixture_id,market_code,model_name,model_version,p_pred,prediction_created_at,league_code,match_datetime_utc,actual,brier,edge,odds_used,hours_to_kickoff,odds_band,kickoff_band,edge_band
1570753,3078,1x2_d,market_outcome_gbm,fixtures_first_prematch_v1,0.23308387518913834,2026-03-04 17:22:46.209039+00:00,SC0,2026-03-04 20:00:00+00:00,0.0,0.05432809287318582,,,2.620497489166667,missing,<=6h,missing
1570752,3078,1x2_h,market_outcome_gbm,fixtures_first_prematch_v1,0.24757317228088382,2026-03-04 17:22:46.209039+00:00,SC0,2026-03-04 20:00:00+00:00,0.0,0.061292475633220184,,,2.620497489166667,missing,<=6h,missing
1570750,3078,c85,market_outcome_gbm,fixtures_first_prematch_v1,0.6423769991610623,2026-03-04 17:22:46.209039+00:00,SC0,2026-03-04 20:00:00+00:00,0.0,0.4126482090511714,,,2.620497489166667,missing,<=6h,missing
1570742,3078,o15,market_outcome_gbm,fixtures_first_prematch_v1,0.8084107624981431,2026-03-04 17:22:46.209039+00:00,SC0,2026-03-04 20:00:00+00:00,1.0,0.036706435926542914,-0.04873209464471395,1.1666666666666667,2.620497489166667,<=1.50,<=6h,<0%
1742737,614,away_and_o25,market_outcome_gbm,fixtures_first_prematch_v1,0.18991847148701957,2026-03-04 17:40:04.265672+00:00,E0,2026-03-04 19:30:00+00:00,1.0,0.6562320828379268,,,1.8321484244444444,missing,<=6h,missing
1742736,614,home_and_o25,market_outcome_gbm,fixtures_first_prematch_v1,0.29138086857631157,2026-03-04 17:40:04.265672+00:00,E0,2026-03-04 19:30:00+00:00,0.0,0.08490281057228576,,,1.8321484244444444,missing,<=6h,missing
1742735,614,away_or_o15,market_outcome_gbm,fixtures_first_prematch_v1,0.8405247086406442,2026-03-04 17:40:04.265672+00:00,E0,2026-03-04 19:30:00+00:00,1.0,0.02543236855415142,,,1.8321484244444444,missing,<=6h,missing
1742734,614,home_or_o15,market_outcome_gbm,fixtures_first_prematch_v1,0.8581917998381682,2026-03-04 17:40:04.265672+00:00,E0,2026-03-04 19:30:00+00:00,1.0,0.02010956563313816,,,1.8321484244444444,missing,<=6h,missing
1742733,614,away_or_o25,market_outcome_gbm,fixtures_first_prematch_v1,0.6611507156087034,2026-03-04 17:40:04.265672+00:00,E0,2026-03-04 19:30:00+00:00,1.0,0.11481883753249379,,,1.8321484244444444,missing,<=6h,missing
1742732,614,home_or_o25,market_outcome_gbm,fixtures_first_prematch_v1,0.6709474418837504,2026-03-04 17:40:04.265672+00:00,E0,2026-03-04 19:30:00+00:00,1.0,0.1082755860028478,,,1.8321484244444444,missing,<=6h,missing
1742713,614,btts,market_outcome_gbm,fixtures_first_prematch_v1,0.5369493624992446,2026-03-04 17:40:04.265672+00:00,E0,2026-03-04 19:30:00+00:00,1.0,0.21441589288985596,,,1.8321484244444444,missing,<=6h,missing
1742709,614,u25,market_outcome_gbm,fixtures_first_prematch_v1,0.48162203299189593,2026-03-04 17:40:04.265672+00:00,E0,2026-03-04 19:30:00+00:00,0.0,0.2319597826632469,,,1.8321484244444444,missing,<=6h,missing
1742708,614,u15,market_outcome_gbm,fixtures_first_prematch_v1,0.23263559520394494,2026-03-04 17:40:04.265672+00:00,E0,2026-03-04 19:30:00+00:00,0.0,0.054119320155893734,,,1.8321484244444444,missing,<=6h,missing
1742707,614,o45,market_outcome_gbm,fixtures_first_prematch_v1,0.10899400709838832,2026-03-04 17:40:04.265672+00:00,E0,2026-03-04 19:30:00+00:00,1.0,0.7938916793865868,,,1.8321484244444444,missing,<=6h,missing
1742706,614,o35,market_outcome_gbm,fixtures_first_prematch_v1,0.2524589162247515,2026-03-04 17:40:04.265672+00:00,E0,2026-03-04 19:30:00+00:00,1.0,0.5588176719318732,,,1.8321484244444444,missing,<=6h,missing
1742705,614,o25,market_outcome_gbm,fixtures_first_prematch_v1,0.5183779670081039,2026-03-04 17:40:04.265672+00:00,E0,2026-03-04 19:30:00+00:00,1.0,0.23195978266324704,-0.03717758854745168,1.8,1.8321484244444444,1.51-1.80,<=6h,<0%
1742703,613,away_and_o25,market_outcome_gbm,fixtures_first_prematch_v1,0.21219028293064565,2026-03-04 17:40:04.265672+00:00,E0,2026-03-04 19:30:00+00:00,0.0,0.045024716170187454,,,1.8321484244444444,missing,<=6h,missing
1742702,613,home_and_o25,market_outcome_gbm,fixtures_first_prematch_v1,0.09297542735042735,2026-03-04 17:40:04.265672+00:00,E0,2026-03-04 19:30:00+00:00,0.0,0.008644430090994595,,,1.8321484244444444,missing,<=6h,missing
1742701,613,away_or_o15,market_outcome_gbm,fixtures_first_prematch_v1,0.8330175679594217,2026-03-04 17:40:04.265672+00:00,E0,2026-03-04 19:30:00+00:00,1.0,0.027883132610186344,,,1.8321484244444444,missing,<=6h,missing
1742700,613,home_or_o15,market_outcome_gbm,fixtures_first_prematch_v1,0.8137689293906983,2026-03-04 17:40:04.265672+00:00,E0,2026-03-04 19:30:00+00:00,0.0,0.6622198704416834,,,1.8321484244444444,missing,<=6h,missing
1742699,613,away_or_o25,market_outcome_gbm,fixtures_first_prematch_v1,0.6546113011838819,2026-03-04 17:40:04.265672+00:00,E0,2026-03-04 19:30:00+00:00,1.0,0.11929335326989114,,,1.8321484244444444,missing,<=6h,missing
1742698,613,home_or_o25,market_outcome_gbm,fixtures_first_prematch_v1,0.6177679277050475,2026-03-04 17:40:04.265672+00:00,E0,2026-03-04 19:30:00+00:00,0.0,0.3816372125009888,,,1.8321484244444444,missing,<=6h,missing
1742679,613,btts,market_outcome_gbm,fixtures_first_prematch_v1,0.5305295943128145,2026-03-04 17:40:04.265672+00:00,E0,2026-03-04 19:30:00+00:00,0.0,0.28146165044171956,,,1.8321484244444444,missing,<=6h,missing
