variant,xg_share_threshold,minutes_share_threshold,football_logic_status,predictive_status,logic_pass,predictive_pass,corr_xg_lost_vs_residual,key_absent_residual_delta,triggered_share,best_triggered_model,best_triggered_lift,best_triggered_global_lift,best_global_model,best_global_lift,train_rows,test_rows
season_xg90,0.08,0.09,warn,fail,False,False,0.017882443147375394,0.04616617556395421,0.21370143149284254,key_absent_only,-0.00011108167033212644,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
season_xg90,0.08,0.11,warn,fail,False,False,0.017882443147375394,0.0,0.21370143149284254,key_absent_only,-0.00011108167033212644,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
season_xg90,0.1,0.09,warn,fail,False,False,0.017882443147375394,0.06268199681759734,0.21370143149284254,key_absent_only,-0.00011108167033212644,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
season_xg90,0.1,0.11,warn,fail,False,False,0.017882443147375394,0.0,0.21370143149284254,key_absent_only,-0.00011108167033212644,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
season_xg90,0.12,0.09,warn,fail,False,False,0.017882443147375394,-0.20186787544525192,0.21370143149284254,key_absent_only,-0.00011108167033212644,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
season_xg90,0.12,0.11,warn,fail,False,False,0.017882443147375394,0.0,0.21370143149284254,key_absent_only,-0.00011108167033212644,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
recency_xg90,0.08,0.09,warn,fail,False,False,0.006632184486345041,0.04616617556395421,0.24092535787321062,key_absent_only,-0.0001164217911898738,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
recency_xg90,0.08,0.11,warn,fail,False,False,0.006632184486345041,0.0,0.24092535787321062,key_absent_only,-0.0001164217911898738,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
recency_xg90,0.1,0.09,warn,fail,False,False,0.006632184486345041,0.06268199681759734,0.24092535787321062,key_absent_only,-0.0001164217911898738,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
recency_xg90,0.1,0.11,warn,fail,False,False,0.006632184486345041,0.0,0.24092535787321062,key_absent_only,-0.0001164217911898738,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
recency_xg90,0.12,0.09,warn,fail,False,False,0.006632184486345041,-0.20186787544525192,0.24092535787321062,key_absent_only,-0.0001164217911898738,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
recency_xg90,0.12,0.11,warn,fail,False,False,0.006632184486345041,0.0,0.24092535787321062,key_absent_only,-0.0001164217911898738,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
baseline_avg_xg10,0.08,0.09,warn,fail,False,False,0.024546337147058322,0.04616617556395421,0.25639059304703476,key_absent_only,-0.00012138039853660871,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
baseline_avg_xg10,0.08,0.11,warn,fail,False,False,0.024546337147058322,0.0,0.25639059304703476,key_absent_only,-0.00012138039853660871,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
baseline_avg_xg10,0.1,0.09,warn,fail,False,False,0.024546337147058322,0.06268199681759734,0.25639059304703476,key_absent_only,-0.00012138039853660871,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
baseline_avg_xg10,0.1,0.11,warn,fail,False,False,0.024546337147058322,0.0,0.25639059304703476,key_absent_only,-0.00012138039853660871,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
baseline_avg_xg10,0.12,0.09,warn,fail,False,False,0.024546337147058322,-0.20186787544525192,0.25639059304703476,key_absent_only,-0.00012138039853660871,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
baseline_avg_xg10,0.12,0.11,warn,fail,False,False,0.024546337147058322,0.0,0.25639059304703476,key_absent_only,-0.00012138039853660871,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
starts_minutes_weighted,0.08,0.09,warn,fail,False,False,0.022944878252902166,0.04616617556395421,0.25639059304703476,key_absent_only,-0.00012138039853660871,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
starts_minutes_weighted,0.08,0.11,warn,fail,False,False,0.022944878252902166,0.0,0.25639059304703476,key_absent_only,-0.00012138039853660871,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
starts_minutes_weighted,0.1,0.09,warn,fail,False,False,0.022944878252902166,0.06268199681759734,0.25639059304703476,key_absent_only,-0.00012138039853660871,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
starts_minutes_weighted,0.1,0.11,warn,fail,False,False,0.022944878252902166,0.0,0.25639059304703476,key_absent_only,-0.00012138039853660871,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
starts_minutes_weighted,0.12,0.09,warn,fail,False,False,0.022944878252902166,-0.20186787544525192,0.25639059304703476,key_absent_only,-0.00012138039853660871,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
starts_minutes_weighted,0.12,0.11,warn,fail,False,False,0.022944878252902166,0.0,0.25639059304703476,key_absent_only,-0.00012138039853660871,-0.0001282305418986888,key_absent_only,-0.0001282305418986888,4394,1423
