feature,missing_pct,non_missing_pct,count,mean,std,min,p25,p50,p75,max
away_form_streak,0.0,1.0,8082,3.775550606285573,2.5574175851508416,0.0,2.0,4.0,6.0,9.0
home_xg_lost,0.0,1.0,8082,0.14030335092091775,0.31755983743392,0.0,0.0,0.0,0.06666666666666667,3.2105428571428574
away_xg_lost,0.0,1.0,8082,0.14515057142464347,0.325185794261512,0.0,0.0,0.0,0.076625,3.2105428571428574
home_key_absent,0.0,1.0,8082,0.2563721851026973,0.4366567068386517,0.0,0.0,0.0,1.0,1.0
away_key_absent,0.0,1.0,8082,0.25377381836179164,0.4351966242825227,0.0,0.0,0.0,1.0,1.0
injury_impact,0.0,1.0,8082,-0.004847220503725701,0.320815237412493,-3.2105428571428574,0.0,0.0,0.0,3.2105428571428574
home_xg_over_scored,0.0,1.0,8082,-0.11476431490009929,3.129075903706958,-18.75,-1.9379772008161118,-0.15791090683275,1.5240671693350576,15.0
home_xg_over_conceded,0.0,1.0,8082,-0.15991988148623265,3.3727746743687264,-21.25,-2.0146354856202775,-0.14723684069630982,1.5411319792505127,18.0
away_xg_over_scored,0.0,1.0,8082,-0.16178390029139295,3.2523100531489675,-18.7,-2.0192041261497597,-0.17582709026262133,1.5872862087062325,18.0
away_xg_over_conceded,0.0,1.0,8082,-0.12032281352442925,3.156882844790275,-18.75,-1.9489020599100293,-0.10612566089999564,1.547460435361713,18.0
home_playing_top4,0.0,1.0,8082,0.19512496906706261,0.39632139752981776,0.0,0.0,0.0,0.0,1.0
away_playing_top4,0.0,1.0,8082,0.18411284335560504,0.3876001715292975,0.0,0.0,0.0,0.0,1.0
derby_position_gap,0.0,1.0,8082,-0.0006186587478346944,0.38583329509747366,-15.0,0.0,0.0,0.0,9.0
away_rolling_corners,0.0779510022271715,0.9220489977728286,7452,4.900411957207544,1.6076434789000873,0.0,3.8997098203651364,4.769771761446593,5.77704053041268,17.0
home_rolling_tackles_pct,0.14637465973768868,0.8536253402623113,6899,48.7753900541224,22.49973640905237,2.0,39.58168046485302,58.45003756574003,63.84786664654639,100.0
away_rolling_tackles_pct,0.14526107399158625,0.8547389260084137,6908,48.79523573530374,22.602405920047374,1.0,38.0,58.63636363636363,64.11099383650405,100.0
home_rolling_errors_lead_to_shot,0.3225686711210097,0.6774313288789904,5475,0.3989988544753239,0.32776955679719816,0.0,0.1643041066936034,0.3461222885117852,0.5749319502185681,3.0
away_rolling_errors_lead_to_shot,0.3220737441227419,0.6779262558772581,5479,0.3964092395826576,0.3221526886560624,0.0,0.16295459202364465,0.347927054162967,0.5738967060910936,3.0
odds_model_gap_home,0.10653303637713438,0.8934669636228656,7221,-0.0016063405278337482,0.11044868329232475,-0.4276016769077389,-0.07017004989165421,-0.005439077738369047,0.06314954244910587,0.61037158485319
odds_model_gap_draw,0.10653303637713438,0.8934669636228656,7221,0.011441487253923176,0.03498955008892515,-0.17680899933102084,-0.006503206235627612,0.014214133210223828,0.032247730492039384,0.17531005137659667
odds_model_gap_away,0.10653303637713438,0.8934669636228656,7221,-0.009646147801941873,0.10178465015591637,-0.5793027958708116,-0.0675815199122845,-0.009874672383165944,0.04840309847391289,0.4405254342625408
odds_opening_gap_home,0.10653303637713438,0.8934669636228656,7221,-0.0010339706693053383,0.11285750329502374,-0.4350181123475284,-0.07101124957637578,-0.0030393277767557514,0.06698536793430243,0.6143310609353146
odds_opening_gap_draw,0.10653303637713438,0.8934669636228656,7221,0.01224504477273839,0.032739758191811755,-0.1701939603164594,-0.0036808020850211953,0.014225856566716322,0.030876847009728536,0.17587116986493115
odds_opening_gap_away,0.10653303637713438,0.8934669636228656,7221,-0.011022075179285497,0.10436051259162246,-0.5793027958708116,-0.07077494058802086,-0.012561505089135172,0.05078910649550675,0.4405254342625408
