slip_id,date,stake,ticket_odds,ticket_win_prob,ticket_ev,result_return_factor,pnl,hit,bankroll_before,bankroll_after
2025-11-09-001,2025-11-09,3.1148139295956376,2.833333333333333,0.5279655966611715,1.5446440890822473,2.833333333333333,5.710492204258668,1,155.7406964797819,161.45118868404055
2025-11-21-001,2025-11-21,3.229023773680811,1.7999999999999996,0.6583297092647548,0.5973483341644737,1.7999999999999996,2.583219018944648,1,161.45118868404055,164.0344077029852
2025-11-22-001,2025-11-22,3.2806881540597037,2.6066666666666665,0.5631364172040612,1.535063275667134,2.6066666666666665,5.270972300855924,1,164.0344077029852,169.30538000384112
2025-11-23-001,2025-11-23,3.3861076000768224,2.4555555555555553,0.6176110133000967,1.7491892162773957,2.4555555555555553,4.928667729000707,1,169.30538000384112,174.23404773284182
2025-11-24-001,2025-11-24,3.4846809546568362,1.8181818181818183,0.6439253094743479,0.5950904310645626,1.8181818181818183,2.8511025992646846,1,174.23404773284182,177.0851503321065
2025-11-27-001,2025-11-27,3.5417030066421304,2.2615384615384615,0.6332499250476634,1.530437378497721,2.2615384615384615,4.467994562225456,1,177.0851503321065,181.55314489433198
2025-11-28-001,2025-11-28,3.6310628978866397,2.095238095238095,0.5698997052337358,0.7047006120368363,2.095238095238095,3.9768784119710805,1,181.55314489433198,185.53002330630306
2025-11-29-001,2025-11-29,3.710600466126061,2.077777777777778,0.6666903564742931,1.4294509714474273,2.077777777777778,3.9992027246025335,1,185.53002330630306,189.5292260309056
2025-11-30-001,2025-11-30,3.7905845206181117,2.407407407407407,0.5099366328459367,0.8628326628087534,2.407407407407407,5.334896732721785,1,189.5292260309056,194.86412276362736
2025-12-01-001,2025-12-01,3.8972824552725474,2.4230769230769234,0.5111895761850369,0.9300929483736712,2.4230769230769234,5.546132724810934,1,194.86412276362736,200.4102554884383
2025-12-03-001,2025-12-03,4.008205109768766,2.555555555555555,0.4496997071406186,0.598154809399959,0.0,-4.008205109768766,0,200.4102554884383,196.40205037866954
2025-12-05-001,2025-12-05,3.928041007573391,2.0444444444444443,0.6689387281622006,1.443979559789062,2.0444444444444443,4.102620607909985,1,196.40205037866954,200.50467098657953
2025-12-06-001,2025-12-06,4.01009341973159,2.3181818181818183,0.6336254587847238,1.8801684632319813,2.3181818181818183,5.286032235100733,1,200.50467098657953,205.79070322168025
2025-12-07-001,2025-12-07,4.115814064433605,2.476923076923077,0.6401808219069044,2.410544429784879,2.476923076923077,6.078740772086556,1,205.79070322168025,211.8694439937668
2025-12-08-001,2025-12-08,4.237388879875336,2.272727272727273,0.556122799281303,1.1183124053967939,2.272727272727273,5.393040392568611,1,211.8694439937668,217.26248438633542
2025-12-11-001,2025-12-11,4.345249687726708,2.272727272727273,0.6353429546384458,1.9291225287325446,0.0,-4.345249687726708,0,217.26248438633542,212.9172346986087
2025-12-12-001,2025-12-12,4.258344693972174,2.692307692307692,0.4502729908212507,0.9039334633811256,2.692307692307692,7.206429482106755,1,212.9172346986087,220.12366418071545
2025-12-13-001,2025-12-13,4.4024732836143095,2.746153846153846,0.485632490824126,1.4687598836430604,2.746153846153846,7.687395656772678,1,220.12366418071545,227.81105983748813
2025-12-14-001,2025-12-14,4.556221196749763,2.833333333333333,0.4922724797077875,1.7986686720102716,2.833333333333333,8.35307219404123,1,227.81105983748813,236.16413203152936
2025-12-15-001,2025-12-15,4.723282640630587,2.222222222222222,0.5437560005430425,0.984080199599787,0.0,-4.723282640630587,0,236.16413203152936,231.44084939089876
2025-12-19-001,2025-12-19,4.6288169878179755,2.1666666666666665,0.5329562280570828,0.7162561702690579,0.0,-4.6288169878179755,0,231.44084939089876,226.8120324030808
2025-12-20-001,2025-12-20,4.536240648061616,2.5384615384615383,0.573683646700236,2.0697680865971813,2.5384615384615383,6.97883176624864,1,226.8120324030808,233.79086416932944
2025-12-21-001,2025-12-21,4.675817283386589,1.8666666666666665,0.6555999627463873,1.046385238634779,1.8666666666666665,4.052374978935043,1,233.79086416932944,237.84323914826447
2025-12-26-001,2025-12-26,4.756864782965289,2.272727272727273,0.5726041405565314,1.4335908324744182,2.272727272727273,6.054191541955824,1,237.84323914826447,243.8974306902203
2025-12-27-001,2025-12-27,4.8779486138044055,2.7777777777777772,0.5497167775031857,2.5706352551030642,2.7777777777777772,8.671908646763384,1,243.8974306902203,252.56933933698366
2025-12-28-001,2025-12-28,5.051386786739673,2.333333333333333,0.5254119601910374,1.1414176243029872,2.333333333333333,6.735182382319563,1,252.56933933698366,259.30452171930324
2025-12-29-001,2025-12-29,5.186090434386065,2.4555555555555553,0.507025681519731,1.270746334044813,2.4555555555555553,7.54864274338416,1,259.30452171930324,266.8531644626874
2025-12-30-001,2025-12-30,5.337063289253748,2.6714285714285713,0.49622333142658565,1.7378822229611206,2.6714285714285713,8.920520069181263,1,266.8531644626874,275.77368453186864
2026-01-01-001,2026-01-01,5.515473690637373,1.971428571428571,0.6388007512148579,1.4304383906500766,1.971428571428571,5.357888728047732,1,275.77368453186864,281.13157325991637
2026-01-03-001,2026-01-03,5.622631465198327,2.5384615384615383,0.4990738770831788,1.5005669960810046,0.0,-5.622631465198327,0,281.13157325991637,275.50894179471806
2026-01-04-001,2026-01-04,5.5101788358943615,2.214814814814815,0.573683646700236,1.4910711424416025,2.214814814814815,6.693846882123521,1,275.50894179471806,282.2027886768416
2026-01-07-001,2026-01-07,5.644055773536832,2.4095238095238094,0.5261402442655037,1.5111815167889686,2.4095238095238094,7.955430995080486,1,282.2027886768416,290.15821967192204
2026-01-10-001,2026-01-10,5.803164393438441,2.7777777777777772,0.5076788980975048,2.380569230837953,2.7777777777777772,10.316736699446114,1,290.15821967192204,300.47495637136814
2026-01-11-001,2026-01-11,6.009499127427363,1.9384615384615385,0.5776901641049126,0.7201192675894396,1.9384615384615385,5.639683796508756,1,300.47495637136814,306.11464016787687
2026-01-12-001,2026-01-12,6.122292803357538,2.692307692307692,0.4221091088430598,0.8353721639927305,0.0,-6.122292803357538,0,306.11464016787687,299.99234736451933
2026-01-16-001,2026-01-16,5.999846947290386,2.1666666666666665,0.5458732931605376,1.0963248444589158,2.1666666666666665,6.99982143850545,1,299.99234736451933,306.9921688030248
2026-01-17-001,2026-01-17,6.1398433760604965,2.555555555555555,0.5835571489603447,3.0165831126871883,2.555555555555555,9.550867473871879,1,306.9921688030248,316.5430362768967
2026-01-18-001,2026-01-18,6.330860725537934,2.351111111111111,0.5493847992838209,1.8464886314289641,0.0,-6.330860725537934,0,316.5430362768967,310.21217555135877
2026-01-19-001,2026-01-19,6.204243511027175,2.55,0.5407187639256086,2.350371239031859,0.0,-6.204243511027175,0,310.21217555135877,304.0079320403316
2026-01-20-001,2026-01-20,6.080158640806632,2.202797202797203,0.4927394292394438,0.5192761702580161,2.202797202797203,7.31319780572546,1,304.0079320403316,311.32112984605703
2026-01-23-001,2026-01-23,6.22642259692114,2.833333333333333,0.47325758203732016,2.122565561469579,0.0,-6.22642259692114,0,311.32112984605703,305.09470724913587
2026-01-24-001,2026-01-24,6.101894144982717,2.3333333333333335,0.6441333957140095,3.069118045439301,0.0,-6.101894144982717,0,305.09470724913587,298.99281310415313
2026-01-25-001,2026-01-25,5.979856262083063,2.55,0.570516482206742,2.7197404627181823,0.0,-5.979856262083063,0,298.99281310415313,293.0129568420701
2026-01-29-001,2026-01-29,5.860259136841401,2.4555555555555553,0.5274645843889464,1.730057442665844,2.4555555555555553,8.529932743624705,1,293.0129568420701,301.5428895856948
2026-01-30-001,2026-01-30,6.030857791713896,2.692307692307692,0.5583803492420656,3.0355219620418965,0.0,-6.030857791713896,0,301.5428895856948,295.5120317939809
