fixture_id,league_code,lambda_home_pred,lambda_away_pred,lambda_total_pred
1054,E1,1.1873365857378693,1.2344142117570724,2.4217507974949415
1055,E1,1.3188312501393227,1.1890186347201153,2.507849884859438
1056,E1,1.1398899436900087,1.4111665196093317,2.55105646329934
1057,E1,1.8544721521365328,1.0248563655316605,2.8793285176681933
1058,E1,1.4983730135751012,1.0496829594040977,2.548055972979199
1059,E1,1.7295934110032092,0.949342629414048,2.6789360404172573
1060,E1,1.3793083275106044,1.2723638592639466,2.651672186774551
1587,E2,1.639222673236177,1.0634824777549703,2.7027051509911475
1588,E2,1.4072046166000474,1.0862760347821003,2.4934806513821477
1589,E2,1.685674328601701,1.0767630401530726,2.7624373687547736
1590,E2,1.2569262556315297,1.2137515051637564,2.470677760795286
1591,E2,1.3898372036621438,1.1238757409960167,2.5137129446581605
1592,E2,1.60196605945275,1.05869114457774,2.66065720403049
1593,E2,1.1968390208037039,1.29541122409192,2.492250244895624
1594,E2,1.440779292531117,1.1322461192814879,2.573025411812605
1595,E2,1.0998821546544628,1.6273049163838151,2.727187071038278
2136,E3,1.6616406134867474,0.9368946321807091,2.5985352456674566
2137,E3,1.4579878515402533,1.2174340491011302,2.6754219006413837
2138,E3,1.4634359599942377,1.1577088080312483,2.621144768025486
2139,E3,1.3961274610130188,1.1888495383218227,2.5849769993348417
2140,E3,1.372991067690941,1.2203856652289897,2.5933767329199306
2141,E3,1.148670809151989,1.4233864333428323,2.5720572424948216
2142,E3,1.3859714982874594,1.1834646591247384,2.5694361574121976
2143,E3,1.5182522519354333,1.1062084608102474,2.6244607127456807
2144,E3,1.6679085412700583,1.0213212615541964,2.6892298028242547
2145,E3,1.3492957650387294,1.3310769258019013,2.6803726908406307
2692,EC,1.5158976144315945,1.1464134751659305,2.662311089597525
2693,EC,1.2069668066634782,1.6929786363659078,2.8999454430293863
2694,EC,1.3928221707983397,1.2514503565935229,2.6442725273918626
2695,EC,1.7359140392150494,0.9640448590978228,2.699958898312872
2696,EC,1.719720072549396,1.1012039455188496,2.8209240180682453
2697,EC,1.4826276833875212,1.1464798261327591,2.6291075095202805
3043,SC0,1.23311470638519,1.4971799050875647,2.730294611472755
3044,SC0,1.1840125802406631,1.4422371042389988,2.626249684479662
